ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen,mst_brkga__rel_gap,st_brkga__rel_gap,greedy_brkga__rel_gap,skater__rel_gap,redcap__rel_gap,schc__rel_gap,azp_greedy__rel_gap,azp_sa__rel_gap,azp_tabu__rel_gap
01__5__0,11,5,0.09406333,0.09406333,0.09406333,0.0940633345580834,0.0940633345580834,0.0940633345580834,0.1560811502165853,0.9646573381096912,0.3319110108844699,0.3513453006744385,0.489464521408081,0.7837121486663818,0.0025296211242675,0.0,0.0,0.0019996166229248,0.0010209083557128,0.0,101,100,100,0.0,0.0,0.0,4.8457601881974995e-06,4.8457601881974995e-06,4.8457601881974995e-06,65.93198456463885,925.5402802661688,252.85909066207827
01__5__1,11,5,0.09406333,0.09406333,0.09406333,0.0940633345580834,0.0940633345580834,0.0940633345580834,0.128391826395629,0.128391826395629,0.128391826395629,0.3631155490875244,0.4368886947631836,0.125429630279541,0.0,0.0,0.0,0.0,0.0005114078521728,0.0,102,100,100,0.0,0.0,0.0,4.8457601881974995e-06,4.8457601881974995e-06,4.8457601881974995e-06,36.49508942074343,36.49508942074343,36.49508942074343
01__5__2,11,5,0.09406333,0.09406333,0.09406333,0.0940633345580834,0.0940633345580834,0.0940633345580834,0.128391826395629,0.128391826395629,0.128391826395629,0.4023373126983642,0.4932012557983398,0.1243414878845214,0.0,0.0010004043579101,0.0,0.0,0.0009987354278564,0.0005035400390625,100,100,100,0.0,0.0,0.0,4.8457601881974995e-06,4.8457601881974995e-06,4.8457601881974995e-06,36.49508942074343,36.49508942074343,36.49508942074343
02__3__0,5,3,0.01690889,0.01690889,0.01690889,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0581264124354276,0.0169088905312091,0.0581264124354276,0.4479885101318359,0.4172031879425049,0.16534423828125,0.0,0.0,0.0,0.0,0.0009992122650146,0.0,100,100,100,0.0,0.0,0.0,3.141596527106996e-06,3.141596527106996e-06,3.141596527106996e-06,243.76243760192185,3.141596527106996e-06,243.76243760192185
02__3__1,5,3,0.01690889,0.01690889,0.01690889,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0498822250511591,0.0498822250511591,0.0169088905312091,0.3199467658996582,0.2836067676544189,0.1212706565856933,0.0009148120880126,0.0,0.0,0.0,0.0,0.0,100,100,100,0.0,0.0,0.0,3.141596527106996e-06,3.141596527106996e-06,3.141596527106996e-06,195.0059113942967,195.0059113942967,3.141596527106996e-06
02__3__2,5,3,0.01690889,0.01690889,0.01690889,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0498822250511591,0.0498822250511591,0.0169088905312091,0.3260469436645508,0.281912088394165,0.1107776165008544,0.0,0.0,0.0,0.0,0.0010116100311279,0.0,100,100,100,0.0,0.0,0.0,3.141596527106996e-06,3.141596527106996e-06,3.141596527106996e-06,195.0059113942967,195.0059113942967,3.141596527106996e-06
03__3__0,5,3,0.11179473,0.11179473,0.11179473,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.4714749438477176,0.4714749438477176,0.4714749438477176,0.2725050449371338,0.2733862400054931,0.1177740097045898,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,2.4876494124671734e-07,2.4876494124671734e-07,2.4876494124671734e-07,0.0,0.0,0.0,321.73271049590795,321.73271049590795,321.73271049590795
03__3__1,5,3,0.11179473,0.11179473,0.11179473,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1320151284027857,0.1117947297218939,0.1117947297218939,0.2791757583618164,0.2815473079681396,0.1274113655090332,0.0,0.0010056495666503,0.0,0.0,0.0,0.0,100,100,100,2.4876494124671734e-07,2.4876494124671734e-07,2.4876494124671734e-07,0.0,0.0,0.0,18.08707685164861,0.0,0.0
03__3__2,5,3,0.11179473,0.11179473,0.11179473,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1320151284027857,0.1320151284027857,0.1117947297218939,0.2867958545684814,0.2366511821746826,0.114415168762207,0.0,0.0,0.0,0.0,0.0,0.0009982585906982,100,100,100,2.4876494124671734e-07,2.4876494124671734e-07,2.4876494124671734e-07,0.0,0.0,0.0,18.08707685164861,18.08707685164861,0.0
04__5__0,11,5,0.28045278,0.28045278,0.28045278,0.3079366057921651,0.3079366057921651,0.2804527775207094,1.0110145991065602,1.0110145991065602,1.0110145991065602,0.3792238235473633,0.4777834415435791,0.1333146095275879,0.0,0.0009999275207519,0.0,0.0,0.0,0.0,101,101,100,8.840313966820504e-07,8.840313966820504e-07,8.840313966820504e-07,9.799806054488513,9.799806054488513,0.0,260.4937016649458,260.4937016649458,260.4937016649458
