ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
15__15__1,125,15,3.931040341,4.412433568,3.923564782,4.553427101,4.056478327,5.015967243,5.122533002,4.721108144,4.92272318,58.27483153,109.8231966,315.4456608,0.003001213,0.003994703,0.000978708,0.001999378,0.009999037,0.012146235,306,313,263
15__20__0,125,20,3.36220331,3.497792404,3.262283189,3.631014831,3.436318467,3.798668074,15.00933032,15.00933032,15.00933032,39.37684345,79.19675136,251.9532738,0.002997875,0.004071951,0.000999451,0.001999378,0.00204587,0.001924038,259,194,225
15__20__1,125,20,3.369128785,3.463130737,3.30776788,3.631014831,3.436318467,3.798668074,4.867844404,4.009030735,4.716588819,64.57716298,115.0930855,166.6584752,0.003073692,0.003984213,0.00201273,0.003990173,0.013977051,0.016992092,430,284,147
16__10__0,113,10,4.853829369,4.7256687,4.451626786,5.464394553,5.297079516,5.722648076,8.616517322,8.995881601,8.453842954,87.09289241,80.03652239,418.5488353,0.003000736,0.00304389,0.00098896,0.007003069,0.073426723,0.022034407,366,276,359
16__10__1,113,10,4.751288772,5.02672747,4.549630736,5.464394553,5.297079516,5.722648076,6.074710531,5.572577741,5.903211304,111.4438133,117.2463336,285.8474195,0.002000332,0.002998352,0.000999689,0.002999544,0.059014082,0.01698637,517,402,247
16__15__0,113,15,3.728285976,3.705535591,3.526842985,4.125341087,3.969226693,4.520188669,8.616517322,8.995881601,8.453842954,77.42074656,76.48933554,255.2333038,0.003046751,0.003098965,0.000984192,0.006273985,0.080013752,0.022756338,440,231,234
16__15__1,113,15,3.62016673,3.632549977,3.651515983,4.125341087,3.969226693,4.520188669,5.656337314,5.006673669,5.174203529,84.42087245,82.62423611,193.5762861,0.004000425,0.005001307,0.002001286,0.003304005,0.030983448,0.020998001,524,247,180
16__20__0,113,20,2.960328381,2.760532483,2.727981423,3.137234692,2.980748022,3.289396539,8.616517322,8.995881601,8.453842954,39.8567543,168.346323,241.7130404,0.003012419,0.004088879,0.001904488,0.006083965,0.07723546,0.024352312,255,452,234
16__20__1,113,20,2.948882649,2.794688699,2.733188083,3.137234692,2.980748022,3.289396539,4.106749565,3.88244623,3.776565377,39.82323003,110.1370091,221.7857695,0.003983974,0.004011631,0.000980139,0.004003048,0.027290106,0.033244133,257,289,213
17__5__0,35,5,1.560744615,1.560744615,1.471546651,1.656106645,1.656106645,1.714977785,3.193278718,3.012026423,2.282922464,7.177331686,7.465606928,26.54917288,0.0,0.001002073,0.000916481,0.0,0.004076958,0.002375364,145,115,123
17__5__1,35,5,1.60881252,1.560744615,1.471546651,1.656106645,1.656106645,1.714977785,2.124077699,1.714977785,2.014362321,5.128824234,7.042971134,24.74683571,0.0,0.0,0.0,0.0,0.003998518,0.002999067,107,122,117
17__7__0,35,7,1.106242813,1.106242813,1.106242813,1.146747873,1.146747873,1.106242813,3.193278718,3.012026423,2.282922464,5.029339552,7.371655226,22.47383904,0.000979424,0.000923872,0.0,0.001000166,0.002076864,0.002086878,116,115,111
17__7__1,35,7,1.106242813,1.106242813,1.106242813,1.146747873,1.146747873,1.106242813,1.354864627,1.517767579,1.480457361,5.101250648,7.913827419,21.42577028,0.0,0.001005411,0.000916243,0.0,0.001083612,0.001997709,118,123,105
17__10__0,35,10,0.835163572,0.835163572,0.835163572,0.83804154,0.861784377,0.87799859,3.193278718,3.012026423,2.282922464,5.255530357,10.45397282,24.54960465,0.000992298,0.001022339,0.0,0.0,0.003008366,0.003085613,135,146,140
17__10__1,35,10,0.861312107,0.835163572,0.835163572,0.83804154,0.861784377,0.87799859,1.015216327,1.092291676,1.015216327,5.154563665,12.66188979,23.82918358,0.000995874,0.000998259,0.000999451,0.000999928,0.002001762,0.002999783,142,178,134
18__5__0,20,5,0.628860883,0.628860883,0.628860883,0.628860883,0.628860883,0.628860883,1.808332814,1.808332814,1.808332814,2.672484159,3.310344934,9.565517426,0.001020432,0.0,0.0,0.000989437,0.0,0.0010221,103,102,101
18__5__1,20,5,0.628860883,0.628860883,0.628860883,0.628860883,0.628860883,0.628860883,0.707670684,0.707670684,0.707670684,2.67394948,3.346785307,9.710422993,0.001036167,0.0,0.000920296,0.0,0.001284838,0.001064301,102,104,102
18__7__0,20,7,0.382324497,0.382324497,0.382324497,0.382324497,0.382324497,0.399754823,1.808332814,1.808332814,1.808332814,2.59006834,4.0798738,9.304732561,0.00099659,0.0,0.0,0.0,0.0,0.001008749,109,114,107
18__7__1,20,7,0.382324497,0.382324497,0.382324497,0.382324497,0.382324497,0.399754823,0.399754823,0.413413961,0.399754823,2.566972971,3.742050409,9.464976788,0.000521421,0.000521183,0.0,0.0,0.001679897,0.000553608,108,106,107
18__10__0,20,10,0.213780407,0.218270635,0.213780407,0.24069817,0.24069817,0.248471525,1.808332814,1.808332814,1.808332814,2.281447887,4.099436522,12.50017548,0.001002073,0.0,0.00100708,0.0,0.000997305,0.0,108,105,179
18__10__1,20,10,0.213780407,0.213780407,0.213780407,0.24069817,0.24069817,0.248471525,0.253606982,0.295924012,0.253606982,2.408109188,4.216747761,7.651909113,0.0,0.0,0.0,0.0,0.0,0.0,114,108,108
19__5__0,51,5,3.38734095,3.435025228,3.38734095,4.671470826,4.745703123,4.33849136,11.28561005,10.98259409,11.28561005,8.611175299,12.17758131,36.35620713,0.0,0.0,0.001010656,0.0,0.0,0.000983715,125,132,103
19__5__1,51,5,3.38734095,3.38734095,3.38734095,4.671470826,4.745703123,4.33849136,4.581654766,4.581654766,4.581654766,14.2842679,14.11921239,39.45371294,0.000999928,0.000999451,0.000999689,0.0,0.001998425,0.002000093,207,156,113
